g u-g g-r r-i i-z mux muy HRV UU VV WW Px Mv CL Typ Teff logg Pop Age Mass Mbol Radius [M/H] [a/Fe] longitude latitude RAJ2000 DECJ2000 Dist x_Gal y_Gal z_Gal Av errPx errMux errMuy errHrv errMv errMass errAge errTeff errLogg errMet errAlphaFe errBand_g errBand_u errBand_r errBand_i errBand_z
21.539 3.08 1.414 1.436 0.832 19.491 22.938 3.99 -22.94 -4.12 7.48 0.00585 14.47 5 7.45 3140.0 5.07 5 4.1964 0.148 11.685 0.142 0.171 0.028 239.317459 -48.536644 60.930344 -37.127731 0.1711 -8.0578 -0.0974 -0.1132 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.742 3.048 1.419 1.354 0.778 -0.125 -6.926 24.62 -4.26 -15.61 -18.36 0.00606 13.74 5 7.45 3067.0 5.03 4 2.5237 0.197 11.169 0.175 -0.287 0.029 239.535614 -48.270199 61.266171 -37.270618 0.165 -8.0557 -0.0947 -0.1081 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.657 3.058 1.424 1.349 0.775 -62.599 3.626 2.19 17.49 32.36 -32.69 0.00589 13.59 5 7.45 3147.0 5.01 7 8.5385 0.306 11.169 0.175 -0.085 0.03 239.495911 -47.613174 62.091148 -37.235981 0.1698 -8.0581 -0.0986 -0.1104 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.68 2.989 1.4 1.202 0.689 45.024 57.155 40.04 -66.94 -22.32 -3.4 0.00581 12.6 5 7.35 3212.0 5.15 6 6.1034 0.237 10.437 0.229 -0.345 0.022 239.569763 -48.014397 61.587925 -37.291077 0.1723 -8.0584 -0.0994 -0.113 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.587 2.979 1.412 1.152 0.658 29.446 59.735 38.01 -63.59 -12.02 -12.34 0.00573 12.47 5 7.35 3252.0 4.98 6 6.0055 0.298 10.314 0.238 -0.354 0.034 239.478241 -47.847923 61.796108 -37.227711 0.1746 -8.0595 -0.101 -0.1145 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.957 2.929 1.412 1.075 0.614 71.71 67.065 46.23 -82.58 -36.81 2.11 0.00601 11.95 5 7.3 3335.0 4.98 6 5.9442 0.231 10.072 0.258 -0.395 0.009 240.305786 -48.36504 61.147869 -37.782963 0.1664 -8.0548 -0.096 -0.1094 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
17.695 2.758 1.332 0.891 0.511 -20.06 -47.313 34.41 27.21 -30.88 -39.17 0.006 10.75 5 7.2 3525.0 4.86 6 6.1678 0.487 9.346 0.318 -0.336 0.017 240.258102 -47.863365 61.782505 -37.751118 0.1667 -8.0555 -0.0971 -0.1086 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
17.537 2.798 1.297 0.909 0.52 17.44 1.715 20.37 -15.22 -20.93 -6.18 0.00573 10.51 5 7.2 3552.0 4.92 5 4.0325 0.435 9.274 0.326 -0.055 0.041 240.144562 -48.365017 61.148254 -37.675858 0.1745 -8.0577 -0.1005 -0.1154 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
16.391 2.574 1.258 0.742 0.422 -0.348 -1.01 24.15 -6.94 -13.51 -18.06 0.00562 9.36 5 7.05 3703.0 4.93 2 0.1072 0.666 8.477 0.419 -0.045 0.027 239.346054 -48.50515 60.970039 -37.146461 0.1779 -8.0601 -0.1014 -0.1182 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.824 3.115 1.422 1.462 0.848 79.196 -0.355 38.39 -36.85 -66.93 17.79 0.00542 14.58 5 7.5 3084.0 5.04 7 8.3861 0.396 11.909 0.13 0.16 0.019 240.605057 -48.306187 61.221119 -37.98222 0.1846 -8.0603 -0.107 -0.1229 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
